net name,weighted error
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell4_2021-04-06 22-04-14.239785,4.584434181
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 02-59-18.631056,3.555553235
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 04-54-07.856518,3.681924634
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 08-43-38.406086,4.372338969
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell4_2021-04-07 04-34-17.973013,4.499557941
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 06-48-49.175290,3.541722194
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-06 17-25-23.255445,4.235137632
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-06 21-14-45.602569,3.913599611
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-06 19-20-05.422915,3.856046243
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 01-04-39.897320,3.097935834
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_NZXT-U_2021-04-07 06-02-50.650847,3.846253903
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell3_2021-04-07 04-24-19.358373,4.348544878
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell3_2021-04-06 22-02-25.839100,3.902713777
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-06 23-09-47.272106,2.948442086
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell2_2021-04-07 05-07-03.996085,3.440744605
egg-fullsize-pt-presample-compare-2021-03-23_retrain_14__FCRN_A_NZXT-U_2021-04-12 21-33-26.779784_150epochs,3.261030257
egg-fullsize-pt-presample-compare-2021-03-23_retrain_25__FCRN_A_Yang-Lab-Dell8_2021-04-13 00-00-16.547471_150epochs,3.993837716
egg-fullsize-pt-presample-compare-2021-03-23_retrain_24__FCRN_A_Yang-Lab-Dell8_2021-04-13 01-54-39.451548_150epochs,3.446076323
egg-fullsize-pt-presample-compare-2021-03-23_retrain_22__FCRN_A_Yang-Lab-Dell8_2021-04-13 04-46-07.858146_150epochs,4.103790732
egg-fullsize-pt-presample-compare-2021-03-23_retrain_21__FCRN_A_Yang-Lab-Dell8_2021-04-12 19-14-14.533570_150epochs,5.030208438
egg-fullsize-pt-presample-compare-2021-03-23_retrain_3__FCRN_A_Yang-Lab-Dell8_2021-04-12 13-59-28.060373_150epochs,3.777851204
